location,seal_count,seal_type,closest_station_name,date,rainfall,maxt,mint,wdsp,eastings,northings,lat,long,county
Rossaveel,39,Harbour,DRIMOLEAGUE (Angram),16/08/2003,0,,,,105800,220700,53.2286,-9.41128,Galway
Rossaveel,4,Harbour,DRIMOLEAGUE (Angram),16/08/2003,0,,,,106100,220800,53.22955,-9.40682,Galway
Kinvara,7,Grey,CASTLEISLAND (Coom),16/08/2003,0.2,,,,128500,215300,53.18363,-9.07024,Galway
Oranmore,1,Harbour,SKIBEREEN (WaterTreatmentPlant),15/08/2003,0,,,,136400,224300,53.26549,-8.95389,Galway
Oranmore,1,Harbour,SKIBEREEN (WaterTreatmentPlant),15/08/2003,0,,,,136400,224300,53.26549,-8.95389,Galway
Oranmore,48,Harbour,DRIMOLEAGUE (Angram),15/08/2003,0,,,,136500,220300,53.22956,-8.95159,Galway
Oranmore,17,Harbour,SKIBEREEN (WaterTreatmentPlant),15/08/2003,0,,,,136200,224000,53.26277,-8.95682,Galway
Oranmore,1,Harbour,DOO-LOUGH,15/08/2003,0,,,,134400,221500,53.24009,-8.98328,Galway
Inner Bay,14,Harbour,DRIMOLEAGUE (Angram),15/08/2003,0,,,,132300,221000,53.23533,-9.01462,Galway
Inner Bay,18,Harbour,DRIMOLEAGUE (Angram),15/08/2003,0,,,,132200,221000,53.23532,-9.01612,Galway
Kinvara,1,Harbour,KILMIHIL (Shyan),15/08/2003,0,,,,136700,216200,53.19275,-8.94778,Galway
Kinvara,4,Harbour,CASTLEISLAND (Coom),16/08/2003,0.2,,,,128300,215300,53.1836,-9.07323,Galway
Kinvara,13,Harbour,CASTLEISLAND (Coom),16/08/2003,0.2,,,,128300,215300,53.1836,-9.07323,Galway
Fannys Bay,1,Grey,SLIEVE BLOOM MTNS.(Nealstown),12/08/2003,1.5,,,,213500,438600,55.19431,-7.78878,Donegal
Fannys Bay,2,Grey,SLIEVE BLOOM MTNS.(Nealstown),12/08/2003,1.5,,,,212800,439000,55.19792,-7.79975,Donegal
Rosguil,1,Grey,DUNGARVAN (Carriglea),12/08/2003,1.5,,,,210500,443600,55.2393,-7.8357,Donegal
Rosguil,3,Grey,DUNGARVAN (Carriglea),12/08/2003,1.5,,,,209500,443400,55.23752,-7.85142,Donegal
Fanny's Bay,25,Harbour,SLIEVE BLOOM MTNS.(Nealstown),12/08/2003,1.5,,,,213500,438600,55.19431,-7.78878,Donegal
Fanad Hd,1,Harbour,CLONMEL (Redmondstown),12/08/2003,1.5,,,,220000,446300,55.26326,-7.68617,Donegal
Cahersiveen,1,Grey,BALLINSKELLIGS THE GLEN,17/08/2003,9,,,,45600,79600,51.94759,-10.24634,Kerry
Cahersiveen,12,Harbour,BALLINSKELLIGS THE GLEN,17/08/2003,9,,,,48700,80800,51.95921,-10.20181,Kerry
Cahersiveen,1,Harbour,BALLINSKELLIGS THE GLEN,17/08/2003,9,,,,45600,79600,51.94759,-10.24634,Kerry
Cahersiveen,1,Harbour,BALLINSKELLIGS THE GLEN,17/08/2003,9,,,,42100,79400,51.94481,-10.2971,Kerry
Ballinskelligs Bay,8,Harbour,VENTRY THE BOAT SLIP,17/08/2003,9,,,,49100,66100,51.82731,-10.18957,Kerry
Inishkeas,34,Grey,KILCAR (Cronasillagh),13/08/2003,0,,,,59700,329600,54.19617,-10.15046,Mayo
Inishkeas,50,Grey,GLENAMADDY (Gortnagier),13/08/2003,0,,,,57200,325600,54.15957,-10.18684,Mayo
Inishkeas,18,Grey,GLENAMADDY (Gortnagier),13/08/2003,0,,,,57200,325200,54.15598,-10.18665,Mayo
Inishkeas,3,Grey,GLENAMADDY (Gortnagier),13/08/2003,0,,,,57300,325800,54.16139,-10.1854,Mayo
Inishkeas,4,Grey,MUSKERRY (GOLF CLUB),13/08/2003,0,,,,59900,316300,54.07682,-10.14122,Mayo
North Achill,1,Grey,PATRICKSWELL (Dooneen),14/08/2003,0,,,,57600,308700,54.00796,-10.17277,Mayo
North Achill,7,Grey,PATRICKSWELL (Dooneen),14/08/2003,0,,,,56400,307800,53.99955,-10.19064,Mayo
North Achill,11,Grey,PATRICKSWELL (Dooneen),14/08/2003,0,,,,56300,307300,53.99503,-10.19193,Mayo
North Achill,5,Grey,PATRICKSWELL (Dooneen),14/08/2003,0,,,,56200,307200,53.99411,-10.1934,Mayo
North Achill,2,Grey,PATRICKSWELL (Dooneen),14/08/2003,0,,,,55600,306800,53.99035,-10.20236,Mayo
North Achill,15,Grey,PATRICKSWELL (Dooneen),14/08/2003,0,,,,55100,306600,53.98842,-10.20988,Mayo
West Achill,1,Grey,PATRICKSWELL (Dooneen),14/08/2003,0,,,,51500,304800,53.97124,-10.26384,Mayo
Blacksod,27,Harbour,GORT (Derrybrien) II,14/08/2003,0,,,,65400,319700,54.10881,-10.05877,Mayo
Blacksod,1,Harbour,LOUGHREA (Rathruddy West),14/08/2003,0,,,,65600,319800,54.10976,-10.05576,Mayo
North narrows,1,Harbour,PATRICKSWELL (Dooneen),14/08/2003,0,,,,72600,308700,54.01188,-9.94413,Mayo
